TABLE_SCHEMA;TABLE_NAME;SoDong
dbo;SYSUSER_EDITLOG;78834
dbo;DLogInfo;22195
dbo;SDONVI;19111
dbo;SCUAKHAUNN;15098
dbo;SBIEU_THUE;14824
dbo;HS2003;14752
dbo;SDIA_DIEM;14712
dbo;HS2012;14160
dbo;DMsg_Out_REP;13363
dbo;SDIA_DIEM_THUPHI;13223
dbo;DHANGMDDK;13206
dbo;SYSACTIONLOG;12703
dbo;HS2017;12481
dbo;SHANGVT;5219
dbo;KhaiBao;4674
dbo;SYSPARA;4209
dbo;HS_NEW;3901
dbo;SNGAN_HANG;3350
dbo;DTOKHAIMD_VNACCS;3018
dbo;DTOKHAIMD_VNACCS2;3018
dbo;DTOKHAIMD;3016
dbo;DCHUNGTU_BS_CHITIET;2801
dbo;DLogMsg;2775
dbo;DCHUNGTU_BS;2358
dbo;SYSAPPMENU_GROUP;2119
dbo;SCUAKHAU;1943
dbo;DTOKHAIGRID_HIENTHI;1870
dbo;SMACACLOAI;1521
dbo;DTBT;1419
dbo;DTBLP;1344
dbo;S_A232;1261
dbo;SIMPORTS_EXCEL;1117
dbo;HIENTHICOT;782
dbo;SYSAPPMENU_USER;761
dbo;DVC_SQUAN_HUYEN;696
dbo;SHAIQUAN_Sub;533
dbo;DVC_STHANH_PHAN;528
dbo;SYSAPPMENU;436
dbo;KB_DINHDANH;346
dbo;SLOAI_GP;311
dbo;SHAIQUAN;296
dbo;SMA_AP_MIENTHUE;267
dbo;DVC_SHAIQUAN;261
dbo;SNUOC;242
dbo;CAUHINH_TOKHAI_INV;232
dbo;SLHINHMD_CONF;221
dbo;SLHINHMD;220
dbo;KHO_STAIKHOAN;214
dbo;DChungTuBS_AMA_ChiTiet;205
dbo;SDanhMucGC;199
dbo;DTOKHAINP_CHITIET;197
dbo;KHO_SIMPORTS_EXCEL;183
dbo;SVB_PQ;177
dbo;SYSDNUSER;176
dbo;SDVT;160
dbo;STAIKHOAN_VNACCS;146
dbo;SLOAI_KIEN;138
dbo;DVC_STHU_TUC;136
dbo;DTOKHAINP;134
dbo;SMA_MIENTHUE;131
dbo;DTHONGBAO_NP;117
dbo;S_A205;108
dbo;DDS_CONT_TK_CHITIET;101
dbo;BCHUONG;97
dbo;Reports_Excel;93
dbo;SNGAN_HANG_THUPHI;92
dbo;SYSACTIONTYPE;78
dbo;DDS_CONT_TK;76
dbo;DDRIVE_CHUNGTU_CHITIET;71
dbo;SLOAI_MA;67
dbo;TINTUC;64
dbo;dtproperties;63
dbo;DVC_STINH_THANH;63
dbo;SMATHKE;63
dbo;DVC_SBO_SUNG;57
dbo;SBIEU_THUE_TEN;54
dbo;SCUCHQ;54
dbo;DErrLog;51
dbo;SHANGHOA_HUHONG;48
dbo;SPTVT;46
dbo;SLOAIHINH;40
dbo;SYSVNACCS;40
dbo;DCKO_OUT;39
dbo;KD_SNPL;38
dbo;CX_SNPL;32
dbo;KHO_SYSAUTOID;32
dbo;DChungTuBS_AMA;30
dbo;DTB_HQ;30
dbo;DM_VERSION;29
dbo;DHOPDONGTM;28
dbo;DHOPDONGTM_CHI_TIET;28
dbo;S_A301;28
dbo;SNGTE;27
dbo;DVAN_DON;25
dbo;DChungTuKem_CHI_TIET;23
dbo;DDRIVE_CHUNGTU;23
dbo;DChungTuKem;21
dbo;PROFILEVALUE;17
dbo;SDKGH;17
dbo;SPTTT;17
dbo;SUPDATE_DANHMUC_CT;17
dbo;DVAN_DON_CHI_TIET;16
dbo;E_TRINH_KY;15
dbo;LOAIPK;15
dbo;SLOAI_CT;14
dbo;SLOAI_CO;12
dbo;SYSACTIONFUNCTION;12
dbo;DTOKHAIMD_ChungTuKem;11
dbo;E_NHAN_DU_LIEU;10
dbo;SUPDATE_DANHMUC;10
dbo;DTOKHAINP_DSTK;7
dbo;SMUC_DICHSD;7
dbo;SNHOMLOAIHINH;7
dbo;PHUKIEN_TK_DM;6
dbo;SKhoCFS;6
dbo;E_GUI_DU_LIEU_ChungTu;5
dbo;SBIEU_CUOC_MIEN_GIAM;5
dbo;SPHANLOAI;5
dbo;SYSAPPUSERGROUP;5
dbo;DVAN_DON_HANG;4
dbo;STRAM_TP;4
dbo;D_IAS;3
dbo;SMACACLOAI_MNF;3
dbo;E_GUI_DU_LIEU;2
dbo;PROFILE;2
dbo;SDVT_THUPHI;2
dbo;SLOAI_CONT;2
dbo;STINH_CHAT_CONT;2
dbo;STINH_TRANG_HH;2
dbo;SYSAPPUSER;2
dbo;CX_KBNPL;1
dbo;CX_KBSP;1
dbo;CX_SSP;1
dbo;dbSO_VAN_DON;1
dbo;S_A001;1
dbo;SHAIQUANIP;1
dbo;SHAIQUANIPV4;1
dbo;SLOAI_THANH_TOAN;1
dbo;SNhaNhapKhau;1
dbo;SYSAPPUSER_GROUP;1
dbo;TINTUC_READ;1
dbo;BC01_NPLTempt;0
dbo;BC01_NPLTHTempt;0
dbo;BC01_TKNTempt;0
dbo;BC02_NPLTempt;0
dbo;BC02_NPLTHTempt;0
dbo;BC02_SPTempt;0
dbo;BC02_SPTHTempt;0
dbo;BC02_TKTXTempt;0
dbo;BC02_TKXTempt;0
dbo;BC03_TBTempt;0
dbo;BC03_TBTHTempt;0
dbo;BC03_TKNTempt;0
dbo;BC04_NPLCUTempt;0
dbo;BC05_NPLSDTempt;0
dbo;BC05_NPLSDTHTempt;0
dbo;BC05_SPXTempt;0
dbo;BC06_NPLTKTempt;0
dbo;BC08_TKNTempt;0
dbo;BC09_TKXTempt;0
dbo;BC116_01_NPLTempt;0
dbo;BC116_01_NPLTHTempt;0
dbo;BC116_01_TKNTempt;0
dbo;BC116_02_NPLTempt;0
dbo;BC116_02_NPLTHTempt;0
dbo;BC116_02_SPTempt;0
dbo;BC116_02_SPTHTempt;0
dbo;BC116_02_TKXTempt;0
dbo;BC116_03_NPLTempt;0
dbo;BC116_03_NPLTHTempt;0
dbo;BC116_03_TKTXTempt;0
dbo;BC116_04_NPLCUTempt;0
dbo;BC116_04_NPLCUTempt_TONG;0
dbo;BC116_04_NPLCUTHTempt;0
dbo;BC116_04_TKXTempt;0
dbo;BC116_05_NPLSDTempt;0
dbo;BC116_05_NPLSDTHTempt;0
dbo;BC116_05_SPXTempt;0
dbo;BC116_06_NPLTKTempt;0
dbo;BC116_07_TBTempt;0
dbo;BC116_07_TKNTempt;0
dbo;BC116_07_TKXTempt;0
dbo;BC116_08_TKNTempt;0
dbo;BC116_09_TKXTempt;0
dbo;BC117_01_NPLTempt;0
dbo;BC117_01_TKNTempt;0
dbo;BC117_02_SPTempt;0
dbo;BC117_02_TKXTempt;0
dbo;BC117_03_NPLTXTempt;0
dbo;BC117_03_TKTXTempt;0
dbo;BC117_04_NPLCUTempt;0
dbo;BC117_05_NPLTempt;0
dbo;BC117_05_SPDMTempt;0
dbo;BC117_05A_SPDMTempt;0
dbo;BC117_06_NPL_Thanhkhoan;0
dbo;BC117_07_TBTempt;0
dbo;BC117_08_NPLTempt;0
dbo;BC117_08_TKNTempt;0
dbo;BC117_08_TKNXTempt;0
dbo;BC117_09_TKXTempt;0
dbo;BC13_01_NPLTempt;0
dbo;BC13_01_TKNTempt;0
dbo;BC13_02_SPTempt;0
dbo;BC13_02_TKXTempt;0
dbo;BC13_03_NPLTXTempt;0
dbo;BC13_03_TKTXTempt;0
dbo;BC13_04_NPLCUTempt;0
dbo;BC13_05_NPLTempt;0
dbo;BC13_05_SPDMTempt;0
dbo;BC13_05A_SPDMTempt;0
dbo;BC13_06_NPL_Thanhkhoan;0
dbo;BC13_07_TBTempt;0
dbo;BC13_08_NPLTempt;0
dbo;BC13_08_TKNTempt;0
dbo;BC13_08_TKNXTempt;0
dbo;BC13_09_TKXTempt;0
dbo;BC222_01_NPLTempt;0
dbo;BC222_01_TKNTempt;0
dbo;BC222_02_SPTempt;0
dbo;BC222_02_TKXTempt;0
dbo;BC222_03_NPLTXTempt;0
dbo;BC222_03_TKTXTempt;0
dbo;BC222_04_NPLCUTempt;0
dbo;BC222_04_TKXCUTempt;0
dbo;BC222_05_NPLTempt;0
dbo;BC222_05_SPDMTempt;0
dbo;BC222_06_NPL_Thanhkhoan;0
dbo;BC222_07_TBTempt;0
dbo;BC222_07_TKNXTempt;0
dbo;BC222_08_TKNTempt;0
dbo;BC222_08A_TKXTempt;0
dbo;BC222_08A1_TKXTempt;0
dbo;BC222_09_TKXTempt;0
dbo;BCQT_GC;0
dbo;BCQT_GC_CHITIET;0
