Bang_Con;Cot_KhoaNgoai;Bang_Cha;Cot_KhoaChinh;CONSTRAINT_NAME
CHUNG_TU_CU;DNPLCU_TKID;DNPLCU_TK;DNPLCU_TKID;FK_CHUNG_TU_CU_DNPLCU_TK
CX_DCHITIETNT;LAN_TL;CX_DDSTKNFIFO;LAN_TL;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_DV;CX_DDSTKNFIFO;LAN_TL;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_HQ;CX_DDSTKNFIFO;LAN_TL;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_LH;CX_DDSTKNFIFO;LAN_TL;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;NAMDK;CX_DDSTKNFIFO;LAN_TL;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;SOTK;CX_DDSTKNFIFO;LAN_TL;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;LAN_TL;CX_DDSTKNFIFO;SOTK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_DV;CX_DDSTKNFIFO;SOTK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_HQ;CX_DDSTKNFIFO;SOTK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_LH;CX_DDSTKNFIFO;SOTK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;NAMDK;CX_DDSTKNFIFO;SOTK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;SOTK;CX_DDSTKNFIFO;SOTK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;LAN_TL;CX_DDSTKNFIFO;NAMDK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_DV;CX_DDSTKNFIFO;NAMDK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_HQ;CX_DDSTKNFIFO;NAMDK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_LH;CX_DDSTKNFIFO;NAMDK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;NAMDK;CX_DDSTKNFIFO;NAMDK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;SOTK;CX_DDSTKNFIFO;NAMDK;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;LAN_TL;CX_DDSTKNFIFO;MA_LH;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_DV;CX_DDSTKNFIFO;MA_LH;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_HQ;CX_DDSTKNFIFO;MA_LH;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_LH;CX_DDSTKNFIFO;MA_LH;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;NAMDK;CX_DDSTKNFIFO;MA_LH;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;SOTK;CX_DDSTKNFIFO;MA_LH;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;LAN_TL;CX_DDSTKNFIFO;MA_HQ;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_DV;CX_DDSTKNFIFO;MA_HQ;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
CX_DCHITIETNT;MA_HQ;CX_DDSTKNFIFO;MA_HQ;FK_CX_DCHITIETNT_CX_DDSTKNFIFO
